keys,en,pt_BR
KEY_NAME,English,Português
NEW_GAME,   New Beginnings   ,   Novos Começos   
TOGGLE_DISTORTION,equip Yogsuvian Translator™,equipar Tradutor Yogsuviano®
CONTINUE_GAME,   Resume your Story   ,   Retome sua História   
OPTIONS,  Choices  ,  Escolhas  
MASTER_VOLUME,Source of All Sound,Fonte de Todo Som
BGM_VOLUME,Background Melodies,Melodia de Fundo
SFX_VOLUME,Sound Chirps,Barulhinhos
NARRATION_VOLUME,Voice Amplitude,Amplitude Vocal
FULLSCREEN,Toggle Fullscreen,Habilitar Tela Cheia
LANGUAGE,Dialect,Dialeto
DUMMY_SLIDER,Happiness,Felicidade
BACK,Back,Voltar
EXIT,Abandon,Abandonar
SAVE_QUIT,Save and Quit,Salvar e Sair
INTRO_1,My story begins at the edge of the world,Minha história começa no fim do mundo
INTRO_2,Global warming has melted the ice walls,O aquecimento global derreteu os muros de gelo
INTRO_3,Nothing else could hold the oceans at the edges of Earth,Nada mais segurava os oceanos nas bordas da Terra
INTRO_4,Life became difficult for a mere fisherman,A vida ficou difícil para um mero pescador
INTRO_5,"My family was gone, I couldn't support them anymore","Minha família se foi, não conseguia mais sustentá-los"
INTRO_6,But that doesn't mean I'm alone,Mas isso não significa que eu esteja sozinho
INTRO_7,And I need to feed her...,E eu preciso alimentá-la...
SKIP_INTRO,Hold to skip intro,Segure para pular introdução
CONSUME1,    CONSUME    ,    CONSUMIR    
CONSUME2,    C O N S U M E    ,    C O N S U M I R    
CONSUME3,    C̴ ̶O̷ ̸N̷ ̷S̴ ̶U̷ ̸M̸ ̶E̶     ,    C̸ ̵O̷ ̴N̷ ̶S̴ ̴U̴ ̴M̷ ̵I̴ ̷R̵    
CONSUME4,    C̷̨͕̥͇̠͇̬̯̱͛̆̈̋̀̋̍͘͜ ̶̧̨̟̫̼̹͖̬̣̫̦̰̯̌͆̓͜Ò̷̫͖͖̣̈̅̊͋̓̀͘ ̸̙͎̩̣͚̍̅̊̔̈́̔̊̀͌͗̒͝ͅÑ̶̨̥͖̥̖̱̍̆̓̎̈͑̓̊̀͗̌ ̴̧̯̮͇̠͙̪̱͉͖̀̀̇́̀͌̈́͠ͅS̴̬̭̦̲̳̪͉̬̟͖͛̀̄̇͂̾͘͘ͅ ̷̣͖͙̟̙̱̞̟͓͓̊͛͋̓̀͆̄̏͋̒̕͝Ú̶͔̩̹̤̣̍ ̶̳͇͊̀͛͌̅̇̈́̂͠͠M̷̪̹͓̲̰͎̪̀̐͊̔̈́̇̉̔́̕̕̚͝ ̸̟̰̗̦̙͙͖̿̿E̸̡̖͓͆̽̒͌̂̍̍͊̐͐̌̈́̕͝     ,    C̴̢̡̧̭̤̖͈͙͚̬̳͓̥͎̟̍͂̌͐̕͝ ̵̨͙̥̳̺̖̯̹͍̯̭͍̻̫̲̔O̴̧̧̰̮̦̘͚̝̯̗̥͉͚͗̑̀ ̵̢̦̮͈̠̖̺̜̍͂̊̔̏͛͘͜N̴̛͍͋̃͑̒̿̆̔͑͑͊̉̓̇̚ ̶̥̀̈́̎̊̈́̐́̏̒͌͊̕͝Ṣ̶̢͉̰̀͝ͅ ̸̨̢̛͔̝͔̮̱̀̏͊̈́̓̈́̓̆͝ͅU̷̯͈͍̮̝̖̖͙̮̔̐̏̾͗ ̸̤̹̅̋̕̕͝M̵͈̜̲̞̼̦̪̞̻̮̤̿͜ͅͅͅ ̴̢̠̹̠̮̺͛̈́̌̒́̀͗̇̋̆͘͠I̴̛̼̫͍̊̒͊͌̌̒́̀̿͝ ̴̢̢͖͉̬̩̝̼͖̫̜̼̤̳̈͂̃̆̓͛̚Ŗ̸͓̙̬̭͔̭̣̫͍̽͒̈́̌͊̽     
MADE_BY,Imagineers,Imaginadores
VOICED_BY,Loquacious,Loquaz
MUSIC_BY,Music,Música
MADE_IN,Made with,Feito com
THANKS_FOR_PLAYING1,"Every journey comes to an end.
See you in the next one.","Toda jornada chega a um fim.
Nos vemos na próxima."
THANKS_FOR_PLAYING2,"Every journey comes to an end.
Thanks for being part of ours.","Toda jornada chega a um fim.
Obrigado por fazer parte da nossa."
END_QUESTION,The End?,O Fim?
APPEASEMENT,Appeasement,Apaziguamento
MAX,Culminating,Culminante
NO_BAIT,Select a bait to fish!,Selecione alguma isca para pescar!
COST,cost,custo
ONE_BAIT,1 Bait,1 Isca
DIGNITY,dignity,dignidade
OUT_OF_STOCK,   OUT OF STOCK   ,   FORA DE ESTOQUE   
MONEY,Cash,Grana
MONEY_SUFFIX,jimbo,doleta
MONEY_SUFFIX_PLURAL,jimbos,doletas
MONEY_ENGINE,Lackeys,Lacaios
MONEY_ENGINE_SUFFIX,oyster,ostra
MONEY_ENGINE_SUFFIX_PLURAL,oysters,ostras
BAIT_SUFFIX,unit,unidade
BAIT_SUFFIX_PLURAL,units,unidades
LINE_LENGTH,Line Size,Tamanho da Linha
ROD_QUALITY,Rod Quality,Qualidade da Vara
AUTO_FISH,Cold Fusion Windlass,Molinete de Fusão a Frio
AUTO_FISH_SUFFIX,chunk,naco
